Path,Category,FieldID,Field,Field_zh,Notes_zh,Participants,Items,Stability,ValueType,Units,ItemType,Strata,Sexed,Instances,Array,Coding,Notes,Link,Data
Assessment centre > Biological sampling > Blood sample collection,100002.0,35,Was blood sampling attempted,是否尝试采血,标识是否尝试采集血液样本,500995.0,623544.0,Complete,Categorical single,,Data,Primary,Both sexes,Defined (4),No,7.0,Indicates whether or not taking blood samples was attempted,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=35,"623,544 items of data are available, covering 500,995 participants, encoded using Data-Coding 7.Defined-instances run from 0 to 3, labelled using Instancing 2."
Assessment centre > Physical measures > Blood pressure,100011.0,36,Blood pressure device ID,血压计设备ID,欧姆龙血压检测设备编号,498704.0,606477.0,Complete,Text,,Data,Auxiliary,Both sexes,Defined (4),No,,Blood pressure (Omron) gadget ID,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=36,"606,477 items of data are available, covering 498,704 participants.Defined-instances run from 0 to 3, labelled using Instancing 2."
Assessment centre > Physical measures > Blood pressure,100011.0,37,Blood pressure manual sphygmomanometer device ID,手动血压计设备ID,手动水银血压计设备编号,498704.0,606477.0,Complete,Text,,Data,Auxiliary,Both sexes,Defined (4),No,,Blood pressure manual sphygmomanometer gadget ID,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=37,"606,477 items of data are available, covering 498,704 participants.Defined-instances run from 0 to 3, labelled using Instancing 2."
Assessment centre > Physical measures > Hand grip strength,100019.0,38,Hand grip dynamometer device ID,握力计设备ID,握力检测设备编号（相关资源中提供测力计校准记录）,497967.0,618477.0,Complete,Text,,Data,Auxiliary,Both sexes,Defined (4),No,,Hand grip dynamometer device id. Dynamometer calibration records are available in the associated Resources.,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=38,"618,477 items of data are available, covering 497,967 participants.Defined-instances run from 0 to 3, labelled using Instancing 2."
Assessment centre > Physical measures > Anthropometry > Body size measures,100010.0,39,Height measure device ID,身高测量设备ID,身高测量设备编号,497967.0,618477.0,Complete,Text,,Data,Auxiliary,Both sexes,Defined (4),No,,Height measure gadget id,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=39,"618,477 items of data are available, covering 497,967 participants.Defined-instances run from 0 to 3, labelled using Instancing 2."
Assessment centre > Physical measures > Anthropometry > Body size measures,100010.0,40,Manual scales device ID,手动体重秤设备ID,手动体重秤编号,497967.0,618477.0,Complete,Text,,Data,Auxiliary,Both sexes,Defined (4),No,,Manual scales gadget id,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=40,"618,477 items of data are available, covering 497,967 participants.Defined-instances run from 0 to 3, labelled using Instancing 2."
Assessment centre > Physical measures > Anthropometry > Body size measures,100010.0,41,Seating box device ID,坐高测量箱设备ID,坐高测量箱编号,497967.0,618477.0,Complete,Text,,Data,Auxiliary,Both sexes,Defined (4),No,,Sitting box gadget id,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=41,"618,477 items of data are available, covering 497,967 participants.Defined-instances run from 0 to 3, labelled using Instancing 2."
Assessment centre > Physical measures > Spirometry,100020.0,42,Spirometer device ID,肺活量计设备ID,肺活量检测设备编号,497967.0,618477.0,Complete,Text,,Data,Auxiliary,Both sexes,Defined (4),No,,Spirometer gadget ID,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=42,"618,477 items of data are available, covering 497,967 participants.Defined-instances run from 0 to 3, labelled using Instancing 2."
Assessment centre > Physical measures > Anthropometry > Body composition by impedance,100009.0,43,Impedance device ID,生物电阻抗设备ID,Tanita生物电阻抗分析仪编号,497967.0,618477.0,Complete,Text,,Data,Auxiliary,Both sexes,Defined (4),No,,Impedance (Tanita) gadget id,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=43,"618,477 items of data are available, covering 497,967 participants.Defined-instances run from 0 to 3, labelled using Instancing 2."
Assessment centre > Physical measures > Anthropometry > Body size measures,100010.0,44,Tape measure device ID,卷尺设备ID,卷尺设备编号,497967.0,618477.0,Complete,Text,,Data,Auxiliary,Both sexes,Defined (4),No,,Tape measure gadget id,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=44,"618,477 items of data are available, covering 497,967 participants.Defined-instances run from 0 to 3, labelled using Instancing 2."
Assessment centre > Physical measures > Bone-densitometry of heel,100018.0,45,Heel ultrasound device id,足跟超声设备编号,足跟超声(Sahara)设备编号,497744.0,579317.0,Complete,Text,,Data,Auxiliary,Both sexes,Defined (4),No,,Ultrasound heel (Sahara) gadget ID,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=45,"579,317 items of data are available, covering 497,744 participants.Defined-instances run from 0 to 3, labelled using Instancing 2."
Assessment centre > Physical measures > Hand grip strength,100019.0,46,Hand grip strength (left),左手握力,左手握力测量值(单位：千克)。注意：2013年在Cheadle首次重复访问(实例1)期间收集的部分握力数据(字段46和47)存在问题。我们正在建模校正因子。建议研究人员谨慎使用2013年握力数据，特别是测力计7336的读数低于预期：2013年1月平均误差约2kg，到6月逐渐增至14kg。该测力计在2013年6月后年度校准时重新校准，实例0/2/3期间未发现问题。,499052.0,618887.0,Accruing,Integer,Kg,Data,Primary,Both sexes,Defined (4),No,,"Left grip strength. An issue has been identified with the a small amount of grip strength data ( Field 46 and Field 47 ) collected in Cheadle during the first repeat visit in 2013 (Instance 1). We are working on modelling a correction factor for this data. In the meantime, researchers are advised to treat the 2013 grip strength data with caution. In particular, readings from dynamometer 7336 are lower than expected. The mean error is approximately 2 kg for readings taken in January 2013, gradually increasing to a mean error of 14 kg for readings taken in June 2013. The dynamometer was recalibrated after June 2013, during scheduled yearly external calibration, and there is no evidence of problems with dynamometer 7336 during instances 0, 2 or 3.",https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=46,"618,887 items of data are available, covering 499,052 participants.Defined-instances run from 0 to 3, labelled using Instancing 2.Units of measurement are Kg."
Assessment centre > Physical measures > Hand grip strength,100019.0,47,Hand grip strength (right),右手握力,右手握力测量值(单位：千克)。注意事项同字段46：2013年Cheadle首次重复访问期间部分数据异常，测力计7336读数偏低(1月平均误差2kg→6月14kg)，建议谨慎使用该年度数据。,499118.0,618978.0,Accruing,Integer,Kg,Data,Primary,Both sexes,Defined (4),No,,"Right grip strength. An issue has been identified with the a small amount of grip strength data ( Field 46 and Field 47 ) collected in Cheadle during the first repeat visit in 2013 (Instance 1). We are working on modelling a correction factor for this data. In the meantime, researchers are advised to treat the 2013 grip strength data with caution. In particular, readings from dynamometer 7336 are lower than expected. The mean error is approximately 2 kg for readings taken in January 2013, gradually increasing to a mean error of 14 kg for readings taken in June 2013. The dynamometer was recalibrated after June 2013, during scheduled yearly external calibration, and there is no evidence of problems with dynamometer 7336 during instances 0, 2 or 3.",https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=47,"618,978 items of data are available, covering 499,118 participants.Defined-instances run from 0 to 3, labelled using Instancing 2.Units of measurement are Kg."
Assessment centre > Physical measures > Anthropometry > Body size measures,100010.0,48,Waist circumference,腰围,腰围测量值(单位：厘米),500097.0,621746.0,Complete,Continuous,cm,Data,Primary,Both sexes,Defined (4),No,,Waist circumference,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=48,"621,746 items of data are available, covering 500,097 participants.Defined-instances run from 0 to 3, labelled using Instancing 2.Units of measurement are cm."
Assessment centre > Physical measures > Anthropometry > Body size measures,100010.0,49,Hip circumference,臀围,臀围测量值(单位：厘米),500031.0,621685.0,Complete,Continuous,cm,Data,Primary,Both sexes,Defined (4),No,,Hip circumference,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=49,"621,685 items of data are available, covering 500,031 participants.Defined-instances run from 0 to 3, labelled using Instancing 2.Units of measurement are cm."
Assessment centre > Physical measures > Anthropometry > Body size measures,100010.0,50,Standing height,站立身高,使用Seca 202设备测量的站立身高(单位：厘米),499738.0,621325.0,Complete,Continuous,cm,Data,Primary,Both sexes,Defined (4),No,,Standing height was measured using a Seca 202 device,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=50,"621,325 items of data are available, covering 499,738 participants.Defined-instances run from 0 to 3, labelled using Instancing 2.Units of measurement are cm."
Assessment centre > Physical measures > Anthropometry > Body size measures,100010.0,51,Seated height,坐高,使用Seca 202设备测量的坐高(单位：厘米)，参与者坐在特定尺寸箱子上(箱子尺寸见字段3077),497182.0,617419.0,Complete,Continuous,cm,Data,Primary,Both sexes,Defined (4),No,,"Seated height was measured using a Seca 202 device with the participant seated on a box, the size of which is given by Field 3077",https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=51,"617,419 items of data are available, covering 497,182 participants.Defined-instances run from 0 to 3, labelled using Instancing 2.Units of measurement are cm."
Population characteristics > Baseline characteristics,100094.0,52,Month of birth,出生月份,参与者的出生月份。数据来自中央登记系统并经参与者确认更新,502150.0,502150.0,Complete,Categorical single,,Data,Primary,Both sexes,Singular,No,8.0,"Calendar month of birth of participant. Acquired from central registry, updated by participant.",https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=52,"502,150 items of data are available, covering 502,150 participants, encoded using Data-Coding 8."
Assessment centre > Recruitment > Reception,100024.0,53,Date of attending assessment centre,评估中心到访日期,参与者到访UK Biobank评估中心的日期，在接待环节自动记录,502150.0,625904.0,Complete,Date,,Data,Primary,Both sexes,Defined (4),No,,Date when a participant attended a UK Biobank assessment centre. Automatically acquired at the Reception stage.,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=53,"625,904 items of data are available, covering 502,150 participants.Defined-instances run from 0 to 3, labelled using Instancing 2."
Assessment centre > Recruitment > Reception,100024.0,54,UK Biobank assessment centre,UK Biobank评估中心,参与者签署同意的UK Biobank评估中心，在知情同意环节自动获取,502150.0,625872.0,Complete,Categorical single,,Data,Primary,Both sexes,Defined (4),No,10.0,The UK Biobank assessment centre at which participant consented. Automatically acquired at participant consent,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=54,"625,872 items of data are available, covering 502,150 participants, encoded using Data-Coding 10.Defined-instances run from 0 to 3, labelled using Instancing 2."
Assessment centre > Recruitment > Reception,100024.0,55,Month of attending assessment centre,评估中心到访月份,参与者到访UK Biobank评估中心的日历月份，在接待环节自动记录,502150.0,625904.0,Complete,Categorical single,,Data,Primary,Both sexes,Defined (4),No,8.0,Calendar month that participant attended a UK Biobank assessment centre. Automatically acquired at Reception stage.,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=55,"625,904 items of data are available, covering 502,150 participants, encoded using Data-Coding 8.Defined-instances run from 0 to 3, labelled using Instancing 2."
Assessment centre > Procedural metrics,100004.0,62,Willing to attempt cognitive tests,是否愿意尝试认知测试,"ACE触摸屏问题：""现在我们将通过一些简短游戏来检查您的记忆力和反应时间""",498024.0,529439.0,Complete,Categorical single,,Data,Primary,Both sexes,Defined (3),No,100641.0,"ACE touchscreen question ""Now we would like to check your memory and reaction times by getting you to play some short games""",https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=62,"529,439 items of data are available, covering 498,024 participants, encoded using Data-Coding 100641.Defined-instances run from 0 to 2, labelled using Instancing 2."
Assessment centre > Biological sampling > Blood sample collection,100002.0,68,Number of blood samples taken,血液样本采集数量,记录的血液样本条形码数量(每个条形码对应评估中心采集的样本，但实际采集量可能未达理想体积),500995.0,623544.0,Complete,Integer,,Data,Primary,Both sexes,Defined (4),No,,"Blood, count of sample barcodes recorded Each barcode corresponds to a sample collected in the assessment centre. However the actual volume collected was not always the full amount preferred.",https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=68,"623,544 items of data are available, covering 500,995 participants.Defined-instances run from 0 to 3, labelled using Instancing 2."
Assessment centre > Biological sampling > Blood sample collection,100002.0,74,Fasting time,空腹时间,从最后一次进食到采血的时间间隔(单位：小时)，用于后续血液成分分析时参考,500980.0,623520.0,Complete,Integer,hours,Data,Primary,Both sexes,Defined (4),No,,Fasting time is the interval between consumption of food or drink and blood sample(s) being taken. This was recorded so that it could be allowed for when analysing the blood composition at a later date.,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=74,"623,520 items of data are available, covering 500,980 participants.Defined-instances run from 0 to 3, labelled using Instancing 2.Units of measurement are hours."
Assessment centre > Physical measures > Bone-densitometry of heel,100018.0,77,"Heel bone ultrasound T-score, manual entry",足跟骨超声T值(人工录入),基于足跟超声骨密度测量的T值，反映个体骨密度与同性别正常预期的标准差数(SD),42707.0,42707.0,Complete,Continuous,Std.Devs,Data,Primary,Both sexes,Defined (1),No,,This T-score is calculated from the ultrasound heel BMD measurement and is based on a person's bone density compared with what is normally expected in someone of the same sex. The units of the T-score are the number of standard deviations (SD) that the bone density is above or below the standard.,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=77,"42,707 items of data are available, covering 42,707 participants.Defined-instances run from 0 to 0, labelled using Instancing 2.Units of measurement are Std.Devs."
Assessment centre > Physical measures > Bone-densitometry of heel,100018.0,78,"Heel bone mineral density (BMD) T-score, automated",足跟骨密度(BMD)T值(自动计算),基于足跟超声骨密度测量的T值(自动计算)，反映个体骨密度与同性别正常预期的标准差数(SD),278894.0,278894.0,Complete,Continuous,Std.Devs,Data,Primary,Both sexes,Defined (1),No,,This T-score is calculated from the ultrasound heel BMD measurement and is based on a person's bone density compared with what is normally expected in someone of the same sex. The units of the T-score are the number of standard deviations (SD) that the bone density is above or below the standard.,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=78,"278,894 items of data are available, covering 278,894 participants.Defined-instances run from 0 to 0, labelled using Instancing 2.Units of measurement are Std.Devs."
Assessment centre > Verbal interview > Medical conditions,100074.0,84,Cancer year/age first occurred,癌症首次确诊年份/年龄,护士根据参与者回答，通过弹窗录入各癌症的确诊时间(年份或年龄)。特殊编码：-3=拒绝回答，-1=时间不确定。具体确诊年龄/年份字段参见相关数据字段表,50513.0,61595.0,Complete,Integer,,Data,Primary,Both sexes,Defined (4),Yes (6),37.0,"For each cancer entered, the nurse entered the date or age at diagnosis using a pop-up screen, depending on the participant's response. See Related Data-fields tab for further information on where to find separate data-fields for age and year of diagnosis. Coding 37 defines 2 special values: -3 represents ""Preferred not to answer"" -1 represents ""Time uncertain/unknown""",https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=84,"61,595 items of data are available, covering 50,513 participants.Some values have special meanings defined by Data-Coding 37.Defined-instances run from 0 to 3, labelled using Instancing 2.Array indices run from 0 to 5."
Assessment centre > Verbal interview > Medical conditions,100074.0,87,Non-cancer illness year/age first occurred,非癌症疾病首次确诊年份/年龄,护士根据参与者回答，通过弹窗录入各非癌症疾病的确诊时间(年份或年龄)。特殊编码：-3=拒绝回答，-1=时间不确定。具体确诊年龄/年份字段参见相关数据字段表,397077.0,1376250.0,Complete,Integer,,Data,Primary,Both sexes,Defined (4),Yes (34),37.0,"For each disease entered, the nurse entered the date or age at diagnosis using a pop-up screen, depending on the participant's response. See Related Data-fields tab for further information on where to find separate data-fields for age and year of diagnosis. Coding 37 defines 2 special values: -3 represents ""Preferred not to answer"" -1 represents ""Time uncertain/unknown""",https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=87,"1,376,250 items of data are available, covering 397,077 participants.Some values have special meanings defined by Data-Coding 37.Defined-instances run from 0 to 3, labelled using Instancing 2.Array indices run from 0 to 33."
Assessment centre > Verbal interview > Operations,100076.0,92,Operation year/age first occurred,手术首次实施年份/年龄,护士根据参与者回答，通过弹窗录入各手术的实施时间(年份或年龄)。特殊编码：-3=拒绝回答，-1=时间不确定。具体手术年龄/年份字段参见相关数据字段表,404826.0,1097894.0,Complete,Integer,,Data,Primary,Both sexes,Defined (4),Yes (32),37.0,"For each operation entered, the nurse entered the date or age at diagnosis using a pop-up screen, depending on the participant's response. See Related Data-fields tab for further information on where to find separate data-fields for age and year of diagnosis. Coding 37 defines 2 special values: -3 represents ""Preferred not to answer"" -1 represents ""Time uncertain/unknown""",https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=92,"1,097,894 items of data are available, covering 404,826 participants.Some values have special meanings defined by Data-Coding 37.Defined-instances run from 0 to 3, labelled using Instancing 2.Array indices run from 0 to 31."
Assessment centre > Physical measures > Blood pressure,100011.0,93,"Systolic blood pressure, manual reading",收缩压(人工测量),人工测量的收缩压(单位：mmHg)。当标准自动设备不可用时使用手动血压计，两次测量间隔片刻进行,53306.0,89244.0,Complete,Integer,mmHg,Data,Primary,Both sexes,Defined (4),Yes (2),,"Blood pressure, manual reading, systolic. Two measures of blood pressure were taken a few moments apart. A manual sphygmometer was used if the standard automated device could not be employed.",https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=93,"89,244 items of data are available, covering 53,306 participants.Defined-instances run from 0 to 3, labelled using Instancing 2.Array indices run from 0 to 1.Units of measurement are mmHg."
Assessment centre > Physical measures > Blood pressure,100011.0,94,"Diastolic blood pressure, manual reading",舒张压（手动测量）,手动测量的舒张压。两次血压测量间隔片刻进行。当标准自动设备无法使用时，采用手动血压计测量。,53306.0,89244.0,Complete,Integer,mmHg,Data,Primary,Both sexes,Defined (4),Yes (2),,"Blood pressure, manual reading, diastolic. Two measures of blood pressure were taken a few moments apart. A manual sphygmometer was used if the standard automated device could not be employed.",https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=94,"89,244 items of data are available, covering 53,306 participants.Defined-instances run from 0 to 3, labelled using Instancing 2.Array indices run from 0 to 1.Units of measurement are mmHg."
Assessment centre > Physical measures > Blood pressure,100011.0,95,Pulse rate (during blood-pressure measurement),脉搏率（血压测量期间）,自动血压测量期间记录的脉搏率。,53306.0,89244.0,Complete,Integer,,Data,Primary,Both sexes,Defined (4),Yes (2),,Pulse measured during automated blood-pressure reading,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=95,"89,244 items of data are available, covering 53,306 participants.Defined-instances run from 0 to 3, labelled using Instancing 2.Array indices run from 0 to 1."
Assessment centre > Physical measures > Blood pressure,100011.0,96,Time since interview start at which blood pressure screen(s) shown,血压测量界面显示的访谈开始后时间,血压测量界面显示的访谈开始后时间（秒），可用于计算两次血压测量的间隔。由于UK Biobank评估中采用固定时间间隔不切实际，该间隔时间存在波动。,501317.0,1219438.0,Complete,Integer,seconds,Data,Auxiliary,Both sexes,Defined (4),Yes (2),,"The time since interview start at which the blood pressure screen was shown is useful because it can be used to calculate the interval between the two measurements of blood pressure. This interval is variable because it, for efficiency reasons, it was impractical to use a fixed time during the UK Biobank Assessments.",https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=96,"1,219,438 items of data are available, covering 501,317 participants.Defined-instances run from 0 to 3, labelled using Instancing 2.Array indices run from 0 to 1.Units of measurement are seconds."
Assessment centre > Physical measures > Blood pressure,100011.0,102,"Pulse rate, automated reading",脉搏率（自动测量）,自动血压测量期间记录的脉搏率（次/分钟）。,476025.0,1127890.0,Complete,Integer,bpm,Data,Primary,Both sexes,Defined (4),Yes (2),,This is the pulse rate measured during the automated blood pressure readings.,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=102,"1,127,890 items of data are available, covering 476,025 participants.Defined-instances run from 0 to 3, labelled using Instancing 2.Array indices run from 0 to 1.Units of measurement are bpm."
Assessment centre > Procedural metrics,100004.0,111,Aide-memoire completed,备忘录填写完成情况,参与者被要求在家预先填写备忘录（在访问评估中心前），以协助回答复杂/详细的访谈问题。本字段记录参与者是否携带已完成的备忘录参加访谈。,501292.0,521615.0,Complete,Categorical single,,Data,Primary,Both sexes,Defined (2),No,7.0,Participants were asked to complete an aide-memoire at home (prior to the visiting and assessment centre) to help them complete the more complex/detailed interview questions. This field records whether or not the participant brought a completed aide-memoire to the interview.,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=111,"521,615 items of data are available, covering 501,292 participants, encoded using Data-Coding 7.Defined-instances run from 0 to 1, labelled using Instancing 2."
Assessment centre > Verbal interview > Early life factors,100072.0,115,Father's month of birth,父亲出生月份,记录父亲出生的月份。,322940.0,322940.0,Complete,Categorical single,,Data,Primary,Both sexes,Defined (1),No,100279.0,Father's month of birth,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=115,"322,940 items of data are available, covering 322,940 participants, encoded using Data-Coding 100279.Defined-instances run from 0 to 0, labelled using Instancing 2."
Assessment centre > Verbal interview > Early life factors,100072.0,117,Mother's month of birth,母亲出生月份,记录母亲出生的月份。,322940.0,322940.0,Complete,Categorical single,,Data,Primary,Both sexes,Defined (1),No,100279.0,Mother's month of birth,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=117,"322,940 items of data are available, covering 322,940 participants, encoded using Data-Coding 100279.Defined-instances run from 0 to 0, labelled using Instancing 2."
Assessment centre > Verbal interview > Early life factors,100072.0,118,Mother's day of birth,母亲出生日,记录母亲在当月中的具体出生日（1-31日）。,279413.0,279413.0,Complete,Integer,day-of-month,Data,Primary,Both sexes,Defined (1),No,,Mother's day of birth (this is the day-within-month),https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=118,"279,413 items of data are available, covering 279,413 participants.Defined-instances run from 0 to 0, labelled using Instancing 2.Units of measurement are day-of-month."
Assessment centre > Verbal interview > Early life factors,100072.0,120,Birth weight known,出生体重是否已知,记录参与者是否知晓自己的出生体重。该问题于2016年10月24日从触摸屏问卷中移除。,501293.0,533317.0,Complete,Categorical single,,Data,Primary,Both sexes,Defined (3),No,100258.0,Birth weight known This question was dropped from the touchscreen protocol on 24/10/2016.,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=120,"533,317 items of data are available, covering 501,293 participants, encoded using Data-Coding 100258.Defined-instances run from 0 to 2, labelled using Instancing 2."
Assessment centre > Verbal interview > Early life factors,100072.0,129,Place of birth in UK - north co-ordinate,英国出生地-北向坐标,"出生地的北向网格坐标（米）。该问题于2016年10月24日从触摸屏问卷中移除。编码170定义特殊值：-1表示""位置无法映射""。",451996.0,480794.0,Complete,Integer,metre-grid,Data,Primary,Both sexes,Defined (3),No,170.0,"Place born - north co-ordinate This question was dropped from the touchscreen protocol on 24/10/2016. Coding 170 defines 1 special value: -1 represents ""Location could not be mapped""",https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=129,"480,794 items of data are available, covering 451,996 participants.Some values have special meanings defined by Data-Coding 170.Defined-instances run from 0 to 2, labelled using Instancing 2.Units of measurement are metre-grid."
