Column,UDI,UDI_url,Count,Type,Description,Description_url,Download_date,Variable_name,Variable_Type,Length,Start_pos,End_pos
15,6-2.0,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6,48991,Integer,Conclusion duration,,2020-11-26,n_6_2_0,5.,5,83,87
16,6-3.0,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6,3209,Integer,Conclusion duration,,2020-11-26,n_6_3_0,5.,5,88,92
17,19-0.0,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=19,324768,Categorical (single),Heel ultrasound methodUses data-coding100260comprises 5 Integer-valued members in a simple list.,http://biobank.ndph.ox.ac.uk/showcase/coding.cgi?id=100260,2020-11-26,n_19_0_0,2.,2,93,94
18,21-0.0,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=21,500776,Categorical (single),Weight methodUses data-coding100261comprises 5 Integer-valued members in a simple list.,http://biobank.ndph.ox.ac.uk/showcase/coding.cgi?id=100261,2020-11-26,n_21_0_0,3.,3,95,97
19,21-1.0,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=21,20333,Categorical (single),Weight methodUses data-coding100261comprises 5 Integer-valued members in a simple list.,,2020-11-26,n_21_1_0,2.,2,98,99
20,21-2.0,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=21,47505,Categorical (single),Weight methodUses data-coding100261comprises 5 Integer-valued members in a simple list.,,2020-11-26,n_21_2_0,2.,2,100,101
21,21-3.0,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=21,3201,Categorical (single),Weight methodUses data-coding100261comprises 5 Integer-valued members in a simple list.,,2020-11-26,n_21_3_0,2.,2,102,103
22,31-0.0,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=31,502491,Categorical (single),SexUses data-coding9comprises 2 Integer-valued members in a simple list.,http://biobank.ndph.ox.ac.uk/showcase/coding.cgi?id=9,2020-11-26,n_31_0_0,2.,2,104,105
23,34-0.0,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=34,502491,Integer,Year of birth,,2020-11-26,n_34_0_0,5.,5,106,110
24,36-0.0,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=36,497860,Text,Blood pressure device ID,,2020-11-26,s_36_0_0,$13.,13,111,123
25,36-1.0,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=36,20334,Text,Blood pressure device ID,,2020-11-26,s_36_1_0,$7.,7,124,130
26,36-2.0,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=36,43260,Text,Blood pressure device ID,,2020-11-26,s_36_2_0,$7.,7,131,137
27,36-3.0,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=36,2957,Text,Blood pressure device ID,,2020-11-26,s_36_3_0,$7.,7,138,144
28,37-0.0,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=37,497860,Text,Blood pressure manual sphygmomanometer device ID,,2020-11-26,s_37_0_0,$7.,7,145,151
29,37-1.0,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=37,20334,Text,Blood pressure manual sphygmomanometer device ID,,2020-11-26,s_37_1_0,$7.,7,152,158
30,37-2.0,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=37,43260,Text,Blood pressure manual sphygmomanometer device ID,,2020-11-26,s_37_2_0,$7.,7,159,165
31,37-3.0,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=37,2957,Text,Blood pressure manual sphygmomanometer device ID,,2020-11-26,s_37_3_0,$7.,7,166,172
32,38-0.0,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=38,497030,Text,Hand grip dynamometer device ID,,2020-11-26,s_38_0_0,$9.,9,173,181
33,38-1.0,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=38,20333,Text,Hand grip dynamometer device ID,,2020-11-26,s_38_1_0,$7.,7,182,188
34,38-2.0,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=38,47505,Text,Hand grip dynamometer device ID,,2020-11-26,s_38_2_0,$7.,7,189,195
35,38-3.0,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=38,3201,Text,Hand grip dynamometer device ID,,2020-11-26,s_38_3_0,$7.,7,196,202
36,39-0.0,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=39,497030,Text,Height measure device ID,,2020-11-26,s_39_0_0,$7.,7,203,209
37,39-1.0,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=39,20333,Text,Height measure device ID,,2020-11-26,s_39_1_0,$7.,7,210,216
38,39-2.0,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=39,47505,Text,Height measure device ID,,2020-11-26,s_39_2_0,$7.,7,217,223
39,39-3.0,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=39,3201,Text,Height measure device ID,,2020-11-26,s_39_3_0,$7.,7,224,230
40,40-0.0,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=40,497030,Text,Manual scales device ID,,2020-11-26,s_40_0_0,$7.,7,231,237
41,40-1.0,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=40,20333,Text,Manual scales device ID,,2020-11-26,s_40_1_0,$7.,7,238,244
42,40-2.0,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=40,47505,Text,Manual scales device ID,,2020-11-26,s_40_2_0,$7.,7,245,251
43,40-3.0,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=40,3201,Text,Manual scales device ID,,2020-11-26,s_40_3_0,$7.,7,252,258
44,41-0.0,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=41,497030,Text,Seating box device ID,,2020-11-26,s_41_0_0,$7.,7,259,265
45,41-1.0,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=41,20333,Text,Seating box device ID,,2020-11-26,s_41_1_0,$7.,7,266,272
46,41-2.0,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=41,47505,Text,Seating box device ID,,2020-11-26,s_41_2_0,$7.,7,273,279
47,41-3.0,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=41,3201,Text,Seating box device ID,,2020-11-26,s_41_3_0,$7.,7,280,286
48,42-0.0,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=42,497030,Text,Spirometer device ID,,2020-11-26,s_42_0_0,$6.,6,287,292
49,42-1.0,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=42,20333,Text,Spirometer device ID,,2020-11-26,s_42_1_0,$6.,6,293,298
50,42-2.0,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=42,47505,Text,Spirometer device ID,,2020-11-26,s_42_2_0,$6.,6,299,304
51,42-3.0,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=42,3201,Text,Spirometer device ID,,2020-11-26,s_42_3_0,$6.,6,305,310
52,43-0.0,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=43,497030,Text,Impedance device ID,,2020-11-26,s_43_0_0,$7.,7,311,317
53,43-1.0,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=43,20333,Text,Impedance device ID,,2020-11-26,s_43_1_0,$7.,7,318,324
54,43-2.0,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=43,47505,Text,Impedance device ID,,2020-11-26,s_43_2_0,$7.,7,325,331
55,43-3.0,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=43,3201,Text,Impedance device ID,,2020-11-26,s_43_3_0,$7.,7,332,338
56,44-0.0,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=44,497030,Text,Tape measure device ID,,2020-11-26,s_44_0_0,$8.,8,339,346
57,44-1.0,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=44,20333,Text,Tape measure device ID,,2020-11-26,s_44_1_0,$7.,7,347,353
58,44-2.0,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=44,47505,Text,Tape measure device ID,,2020-11-26,s_44_2_0,$7.,7,354,360
59,44-3.0,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=44,3201,Text,Tape measure device ID,,2020-11-26,s_44_3_0,$7.,7,361,367
60,45-0.0,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=45,497030,Text,Heel ultrasound device id,,2020-11-26,s_45_0_0,$7.,7,368,374
61,45-1.0,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=45,20333,Text,Heel ultrasound device id,,2020-11-26,s_45_1_0,$7.,7,375,381
62,45-2.0,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=45,47505,Text,Heel ultrasound device id,,2020-11-26,s_45_2_0,$7.,7,382,388
63,45-3.0,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=45,3201,Text,Heel ultrasound device id,,2020-11-26,s_45_3_0,$7.,7,389,395
64,46-0.0,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=46,499081,Integer,Hand grip strength (left),,2020-11-26,n_46_0_0,3.,3,396,398
65,46-1.0,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=46,20198,Integer,Hand grip strength (left),,2020-11-26,n_46_1_0,3.,3,399,401
66,46-2.0,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=46,47296,Integer,Hand grip strength (left),,2020-11-26,n_46_2_0,3.,3,402,404
67,46-3.0,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=46,3200,Integer,Hand grip strength (left),,2020-11-26,n_46_3_0,3.,3,405,407
68,47-0.0,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=47,499148,Integer,Hand grip strength (right),,2020-11-26,n_47_0_0,3.,3,408,410
69,47-1.0,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=47,20213,Integer,Hand grip strength (right),,2020-11-26,n_47_1_0,3.,3,411,413
70,47-2.0,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=47,47301,Integer,Hand grip strength (right),,2020-11-26,n_47_2_0,3.,3,414,416
71,47-3.0,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=47,3198,Integer,Hand grip strength (right),,2020-11-26,n_47_3_0,3.,3,417,419
72,48-0.0,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=48,500331,Continuous,Waist circumference,,2020-11-26,n_48_0_0,18.,18,420,437
73,48-1.0,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=48,20321,Continuous,Waist circumference,,2020-11-26,n_48_1_0,13.,13,438,450
74,48-2.0,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=48,47498,Continuous,Waist circumference,,2020-11-26,n_48_2_0,18.,18,451,468
75,48-3.0,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=48,3201,Continuous,Waist circumference,,2020-11-26,n_48_3_0,13.,13,469,481
76,49-0.0,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=49,500272,Continuous,Hip circumference,,2020-11-26,n_49_0_0,18.,18,482,499
77,49-1.0,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=49,20316,Continuous,Hip circumference,,2020-11-26,n_49_1_0,13.,13,500,512
78,49-2.0,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=49,47500,Continuous,Hip circumference,,2020-11-26,n_49_2_0,18.,18,513,530
79,49-3.0,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=49,3201,Continuous,Hip circumference,,2020-11-26,n_49_3_0,13.,13,531,543
80,50-0.0,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=50,499953,Continuous,Standing height,,2020-11-26,n_50_0_0,13.,13,544,556
81,50-1.0,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=50,20312,Continuous,Standing height,,2020-11-26,n_50_1_0,13.,13,557,569
82,50-2.0,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=50,47457,Continuous,Standing height,,2020-11-26,n_50_2_0,13.,13,570,582
83,50-3.0,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=50,3201,Continuous,Standing height,,2020-11-26,n_50_3_0,13.,13,583,595
84,51-0.0,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=51,496214,Continuous,Seated height,,2020-11-26,n_51_0_0,13.,13,596,608
85,51-1.0,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=51,20314,Continuous,Seated height,,2020-11-26,n_51_1_0,13.,13,609,621
86,51-2.0,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=51,47292,Continuous,Seated height,,2020-11-26,n_51_2_0,13.,13,622,634
87,51-3.0,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=51,3201,Continuous,Seated height,,2020-11-26,n_51_3_0,13.,13,635,647
88,52-0.0,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=52,502491,Categorical (single),Month of birthUses data-coding8comprises 12 Integer-valued members in a simple list.,http://biobank.ndph.ox.ac.uk/showcase/coding.cgi?id=8,2020-11-26,n_52_0_0,3.,3,648,650
89,53-0.0,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=53,502491,Date,Date of attending assessment centre,,2020-11-26,s_53_0_0,date10.,10,651,660
90,53-1.0,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=53,20344,Date,Date of attending assessment centre,,2020-11-26,s_53_1_0,date10.,10,661,670
91,53-2.0,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=53,49001,Date,Date of attending assessment centre,,2020-11-26,s_53_2_0,date10.,10,671,680
92,53-3.0,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=53,3209,Date,Date of attending assessment centre,,2020-11-26,s_53_3_0,date10.,10,681,690
93,54-0.0,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=54,502491,Categorical (single),UK Biobank assessment centreUses data-coding10comprises 27 Integer-valued members in a simple list.,http://biobank.ndph.ox.ac.uk/showcase/coding.cgi?id=10,2020-11-26,n_54_0_0,6.,6,691,696
94,54-1.0,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=54,20342,Categorical (single),UK Biobank assessment centreUses data-coding10comprises 27 Integer-valued members in a simple list.,,2020-11-26,n_54_1_0,6.,6,697,702
95,54-2.0,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=54,48998,Categorical (single),UK Biobank assessment centreUses data-coding10comprises 27 Integer-valued members in a simple list.,,2020-11-26,n_54_2_0,6.,6,703,708
96,54-3.0,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=54,3209,Categorical (single),UK Biobank assessment centreUses data-coding10comprises 27 Integer-valued members in a simple list.,,2020-11-26,n_54_3_0,6.,6,709,714
97,55-0.0,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=55,502491,Categorical (single),Month of attending assessment centreUses data-coding8comprises 12 Integer-valued members in a simple list.,http://biobank.ndph.ox.ac.uk/showcase/coding.cgi?id=8,2020-11-26,n_55_0_0,3.,3,715,717
98,55-1.0,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=55,20344,Categorical (single),Month of attending assessment centreUses data-coding8comprises 12 Integer-valued members in a simple list.,,2020-11-26,n_55_1_0,3.,3,718,720
99,55-2.0,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=55,49001,Categorical (single),Month of attending assessment centreUses data-coding8comprises 12 Integer-valued members in a simple list.,,2020-11-26,n_55_2_0,3.,3,721,723
100,55-3.0,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=55,3209,Categorical (single),Month of attending assessment centreUses data-coding8comprises 12 Integer-valued members in a simple list.,,2020-11-26,n_55_3_0,3.,3,724,726
101,77-0.0,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=77,42730,Continuous,"Heel bone ultrasound T-score, manual entry",,2020-11-26,n_77_0_0,21.,21,727,747
102,78-0.0,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=78,279086,Continuous,"Heel bone mineral density (BMD) T-score, automated",,2020-11-26,n_78_0_0,21.,21,748,768
103,84-0.0,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=84,41696,Integer,Cancer year/age first occurredUses data-coding37comprises 2 Integer-valued members in a simple list.,http://biobank.ndph.ox.ac.uk/showcase/coding.cgi?id=37,2020-11-26,n_84_0_0,5.,5,769,773
104,84-0.1,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=84,2776,Integer,Cancer year/age first occurredUses data-coding37comprises 2 Integer-valued members in a simple list.,,2020-11-26,n_84_0_1,5.,5,774,778
105,84-0.2,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=84,273,Integer,Cancer year/age first occurredUses data-coding37comprises 2 Integer-valued members in a simple list.,,2020-11-26,n_84_0_2,5.,5,779,783
106,84-0.3,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=84,40,Integer,Cancer year/age first occurredUses data-coding37comprises 2 Integer-valued members in a simple list.,,2020-11-26,n_84_0_3,5.,5,784,788
107,84-0.4,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=84,8,Integer,Cancer year/age first occurredUses data-coding37comprises 2 Integer-valued members in a simple list.,,2020-11-26,n_84_0_4,5.,5,789,793
108,84-0.5,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=84,2,Integer,Cancer year/age first occurredUses data-coding37comprises 2 Integer-valued members in a simple list.,,2020-11-26,n_84_0_5,5.,5,794,798
109,84-1.0,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=84,2279,Integer,Cancer year/age first occurredUses data-coding37comprises 2 Integer-valued members in a simple list.,,2020-11-26,n_84_1_0,5.,5,799,803
110,84-1.1,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=84,139,Integer,Cancer year/age first occurredUses data-coding37comprises 2 Integer-valued members in a simple list.,,2020-11-26,n_84_1_1,5.,5,804,808
111,84-1.2,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=84,13,Integer,Cancer year/age first occurredUses data-coding37comprises 2 Integer-valued members in a simple list.,,2020-11-26,n_84_1_2,5.,5,809,813
112,84-1.3,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=84,1,Integer,Cancer year/age first occurredUses data-coding37comprises 2 Integer-valued members in a simple list.,,2020-11-26,n_84_1_3,5.,5,814,818
113,84-1.4,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=84,0,Integer,Cancer year/age first occurredUses data-coding37comprises 2 Integer-valued members in a simple list.,,2020-11-26,,,,,
114,84-1.5,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=84,0,Integer,Cancer year/age first occurredUses data-coding37comprises 2 Integer-valued members in a simple list.,,2020-11-26,,,,,
115,84-2.0,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=84,5400,Integer,Cancer year/age first occurredUses data-coding37comprises 2 Integer-valued members in a simple list.,,2020-11-26,n_84_2_0,5.,5,819,823
116,84-2.1,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=84,373,Integer,Cancer year/age first occurredUses data-coding37comprises 2 Integer-valued members in a simple list.,,2020-11-26,n_84_2_1,5.,5,824,828
117,84-2.2,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=84,23,Integer,Cancer year/age first occurredUses data-coding37comprises 2 Integer-valued members in a simple list.,,2020-11-26,n_84_2_2,5.,5,829,833
118,84-2.3,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=84,4,Integer,Cancer year/age first occurredUses data-coding37comprises 2 Integer-valued members in a simple list.,,2020-11-26,n_84_2_3,5.,5,834,838
119,84-2.4,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=84,2,Integer,Cancer year/age first occurredUses data-coding37comprises 2 Integer-valued members in a simple list.,,2020-11-26,n_84_2_4,5.,5,839,843
120,84-2.5,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=84,0,Integer,Cancer year/age first occurredUses data-coding37comprises 2 Integer-valued members in a simple list.,,2020-11-26,,,,,
121,84-3.0,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=84,331,Integer,Cancer year/age first occurredUses data-coding37comprises 2 Integer-valued members in a simple list.,,2020-11-26,n_84_3_0,5.,5,844,848
122,84-3.1,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=84,19,Integer,Cancer year/age first occurredUses data-coding37comprises 2 Integer-valued members in a simple list.,,2020-11-26,n_84_3_1,5.,5,849,853
123,84-3.2,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=84,3,Integer,Cancer year/age first occurredUses data-coding37comprises 2 Integer-valued members in a simple list.,,2020-11-26,n_84_3_2,5.,5,854,858
124,84-3.3,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=84,1,Integer,Cancer year/age first occurredUses data-coding37comprises 2 Integer-valued members in a simple list.,,2020-11-26,n_84_3_3,5.,5,859,863
125,84-3.4,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=84,0,Integer,Cancer year/age first occurredUses data-coding37comprises 2 Integer-valued members in a simple list.,,2020-11-26,,,,,
126,84-3.5,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=84,0,Integer,Cancer year/age first occurredUses data-coding37comprises 2 Integer-valued members in a simple list.,,2020-11-26,,,,,
127,87-0.0,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=87,375025,Integer,Non-cancer illness year/age first occurredUses data-coding37comprises 2 Integer-valued members in a simple list.,http://biobank.ndph.ox.ac.uk/showcase/coding.cgi?id=37,2020-11-26,n_87_0_0,5.,5,864,868
128,87-0.1,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=87,240954,Integer,Non-cancer illness year/age first occurredUses data-coding37comprises 2 Integer-valued members in a simple list.,,2020-11-26,n_87_0_1,5.,5,869,873
129,87-0.2,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=87,142156,Integer,Non-cancer illness year/age first occurredUses data-coding37comprises 2 Integer-valued members in a simple list.,,2020-11-26,n_87_0_2,5.,5,874,878
130,87-0.3,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=87,79349,Integer,Non-cancer illness year/age first occurredUses data-coding37comprises 2 Integer-valued members in a simple list.,,2020-11-26,n_87_0_3,5.,5,879,883
131,87-0.4,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=87,43391,Integer,Non-cancer illness year/age first occurredUses data-coding37comprises 2 Integer-valued members in a simple list.,,2020-11-26,n_87_0_4,5.,5,884,888
132,87-0.5,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=87,23736,Integer,Non-cancer illness year/age first occurredUses data-coding37comprises 2 Integer-valued members in a simple list.,,2020-11-26,n_87_0_5,5.,5,889,893
133,87-0.6,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=87,12984,Integer,Non-cancer illness year/age first occurredUses data-coding37comprises 2 Integer-valued members in a simple list.,,2020-11-26,n_87_0_6,5.,5,894,898
134,87-0.7,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=87,7113,Integer,Non-cancer illness year/age first occurredUses data-coding37comprises 2 Integer-valued members in a simple list.,,2020-11-26,n_87_0_7,5.,5,899,903
135,87-0.8,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=87,4084,Integer,Non-cancer illness year/age first occurredUses data-coding37comprises 2 Integer-valued members in a simple list.,,2020-11-26,n_87_0_8,5.,5,904,908
136,87-0.9,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=87,2349,Integer,Non-cancer illness year/age first occurredUses data-coding37comprises 2 Integer-valued members in a simple list.,,2020-11-26,n_87_0_9,5.,5,909,913
137,87-0.10,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=87,1396,Integer,Non-cancer illness year/age first occurredUses data-coding37comprises 2 Integer-valued members in a simple list.,,2020-11-26,n_87_0_10,5.,5,914,918
138,87-0.11,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=87,838,Integer,Non-cancer illness year/age first occurredUses data-coding37comprises 2 Integer-valued members in a simple list.,,2020-11-26,n_87_0_11,5.,5,919,923
139,87-0.12,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=87,508,Integer,Non-cancer illness year/age first occurredUses data-coding37comprises 2 Integer-valued members in a simple list.,,2020-11-26,n_87_0_12,5.,5,924,928
140,87-0.13,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=87,308,Integer,Non-cancer illness year/age first occurredUses data-coding37comprises 2 Integer-valued members in a simple list.,,2020-11-26,n_87_0_13,5.,5,929,933
141,87-0.14,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=87,199,Integer,Non-cancer illness year/age first occurredUses data-coding37comprises 2 Integer-valued members in a simple list.,,2020-11-26,n_87_0_14,5.,5,934,938
142,87-0.15,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=87,128,Integer,Non-cancer illness year/age first occurredUses data-coding37comprises 2 Integer-valued members in a simple list.,,2020-11-26,n_87_0_15,5.,5,939,943
143,87-0.16,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=87,79,Integer,Non-cancer illness year/age first occurredUses data-coding37comprises 2 Integer-valued members in a simple list.,,2020-11-26,n_87_0_16,5.,5,944,948
144,87-0.17,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=87,53,Integer,Non-cancer illness year/age first occurredUses data-coding37comprises 2 Integer-valued members in a simple list.,,2020-11-26,n_87_0_17,5.,5,949,953
